rollback,delay,reopen,capacity_multiplier,n.val,prob_lower,prob_upper,prob_median,prob
weak (20%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.2,100,0.869565217391304,1,0.958333333333333,0.962072402414023
weak (20%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.3,100,0.897959183673469,1,0.979166666666667,0.982198730344349
weak (20%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.4,100,0.934782608695652,1,0.979166666666667,0.981310721327299
weak (20%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.5,100,1,1,1,1
weak (20%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.6,100,1,1,1,1
weak (20%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.7,100,1,1,1,1
weak (20%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.8,100,1,1,1,1
weak (20%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.9,100,1,1,1,1
weak (20%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",1,100,1,1,1,1
moderate (40%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0,100,0,0.0666666666666667,0,0.0121685225928482
moderate (40%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.1,100,0,0.0638297872340426,0,0.0126480531326994
moderate (40%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.2,100,0,0.102040816326531,0.0222222222222222,0.0329261040379511
moderate (40%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.3,100,0.0217391304347826,0.234042553191489,0.134848484848485,0.134066216955438
moderate (40%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.4,100,0.224489795918367,0.530612244897959,0.3775,0.37934831768204
moderate (40%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.5,100,0.574468085106383,0.875,0.723404255319149,0.720930543145972
moderate (40%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.6,100,0.8125,0.979166666666667,0.916666666666667,0.915958404205892
moderate (40%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.7,100,0.91304347826087,1,0.978492136910268,0.973498540541659
moderate (40%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.8,100,1,1,1,1
moderate (40%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.9,100,1,1,1,1
moderate (40%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",1,100,1,1,1,1
strong (60%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0,100,0,0,0,0
strong (60%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.1,100,0,0,0,0
strong (60%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.2,100,0,0,0,0
strong (60%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.3,100,0,0,0,0
strong (60%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.4,100,0,0.0222222222222222,0,0.00254195656369239
strong (60%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.5,100,0.104166666666667,0.347826086956522,0.197826086956522,0.206042541390472
strong (60%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.6,100,0.583333333333333,0.891304347826087,0.722167243938644,0.719771397886122
strong (60%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.7,100,0.909090909090909,1,0.959183673469388,0.965927990840801
strong (60%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.8,100,1,1,1,1
strong (60%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.9,100,1,1,1,1
strong (60%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",1,100,1,1,1,1
very strong (80%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0,100,0,0,0,0
very strong (80%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.1,100,0,0,0,0
very strong (80%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.2,100,0,0,0,0
very strong (80%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.3,100,0,0,0,0
very strong (80%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.4,100,0,0,0,0
very strong (80%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.5,100,0,0.0930232558139535,0.0232558139534884,0.0317908505775312
very strong (80%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.6,100,0.270833333333333,0.644444444444445,0.450676982591876,0.458577355727983
very strong (80%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.7,100,0.765957446808511,0.979591836734694,0.915780141843972,0.911832427703258
very strong (80%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.8,100,0.975,1,1,0.997590012857299
very strong (80%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.9,100,1,1,1,1
very strong (80%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",1,100,1,1,1,1
weak (20%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0,100,0,0.0625,0.0208333333333333,0.0151278344215526
weak (20%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.1,100,0,0.0909090909090909,0.0212765957446809,0.0224175919027956
weak (20%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.2,100,0,0.0909090909090909,0.0219806763285024,0.0293993260827457
weak (20%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.3,100,0,0.145833333333333,0.0625,0.0624987539331902
weak (20%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.4,100,0.0416666666666667,0.297872340425532,0.152173913043478,0.151052257936975
weak (20%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.5,100,0.148936170212766,0.456521739130435,0.311805555555556,0.302668310610366
weak (20%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.6,100,0.488372093023256,0.75,0.615328820116054,0.611883973647401
weak (20%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.7,100,0.717391304347826,0.934782608695652,0.847826086956522,0.845334151976827
weak (20%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.8,100,0.911111111111111,1,0.976467331118494,0.967081849074458
weak (20%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.9,100,1,1,1,1
weak (20%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",1,100,1,1,1,1
moderate (40%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0,100,0,0,0,0
moderate (40%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.1,100,0,0,0,0
moderate (40%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.2,100,0,0,0,0
moderate (40%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.3,100,0,0,0,0
moderate (40%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.4,100,0,0,0,0
moderate (40%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.5,100,0,0.0487804878048781,0.0212765957446809,0.0168857660041671
moderate (40%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.6,100,0.0681818181818182,0.318181818181818,0.2,0.199230503784512
moderate (40%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.7,100,0.465116279069768,0.818181818181818,0.662878787878788,0.658114594968861
moderate (40%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.8,100,0.822222222222222,1,0.91304347826087,0.91477808974322
moderate (40%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.9,100,1,1,1,1
moderate (40%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",1,100,1,1,1,1
strong (60%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0,100,0,0,0,0
strong (60%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.1,100,0,0,0,0
strong (60%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.2,100,0,0,0,0
strong (60%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.3,100,0,0,0,0
strong (60%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.4,100,0,0,0,0
strong (60%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.5,100,0,0,0,0
strong (60%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.6,100,0,0.186046511627907,0.0697674418604651,0.075771196431038
strong (60%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.7,100,0.369565217391304,0.673913043478261,0.527210884353742,0.527775760625321
strong (60%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.8,100,0.813953488372093,1,0.909090909090909,0.907712746729469
strong (60%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.9,100,1,1,1,1
strong (60%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",1,100,1,1,1,1
very strong (80%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0,100,0,0,0,0
very strong (80%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.1,100,0,0,0,0
very strong (80%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.2,100,0,0,0,0
very strong (80%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.3,100,0,0,0,0
very strong (80%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.4,100,0,0,0,0
very strong (80%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.5,100,0,0,0,0
very strong (80%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.6,100,0,0.111111111111111,0.0444444444444444,0.0460248927078505
very strong (80%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.7,100,0.311111111111111,0.642857142857143,0.441860465116279,0.447212937783161
very strong (80%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.8,100,0.795454545454545,0.977777777777778,0.9,0.894815957252883
very strong (80%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.9,100,1,1,1,1
very strong (80%),"delayed mitigation:
7 days after threshold reached","Low increase in transmission:
Rt approx. 1.15",1,100,1,1,1,1
weak (20%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0,100,0.837209302325582,0.978723404255319,0.931818181818182,0.9248206882477
weak (20%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.1,100,0.818181818181818,1,0.954545454545455,0.948196158113207
weak (20%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.2,100,0.930232558139535,1,0.978260869565217,0.978146429908808
weak (20%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.3,100,0.977272727272727,1,1,0.996561747213112
weak (20%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.4,100,0.957446808510638,1,1,0.991980657606971
weak (20%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.5,100,1,1,1,1
weak (20%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.6,100,1,1,1,1
weak (20%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.7,100,1,1,1,1
weak (20%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.8,100,1,1,1,1
weak (20%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.9,100,1,1,1,1
weak (20%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",1,100,1,1,1,1
moderate (40%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0,100,0,0.108695652173913,0.0217391304347826,0.0317412251630437
moderate (40%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.1,100,0,0.130434782608696,0.0425531914893617,0.0453469776650956
moderate (40%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.2,100,0,0.208333333333333,0.101020408163265,0.0957556500260037
moderate (40%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.3,100,0.333333333333333,0.625,0.489125295508274,0.486260115397275
moderate (40%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.4,100,0.733333333333333,0.979166666666667,0.869565217391304,0.866651382907279
moderate (40%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.5,100,0.914893617021277,1,0.979166666666667,0.977912378404785
moderate (40%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.6,100,1,1,1,1
moderate (40%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.7,100,1,1,1,1
moderate (40%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.8,100,1,1,1,1
moderate (40%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.9,100,1,1,1,1
moderate (40%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",1,100,1,1,1,1
strong (60%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0,100,0,0,0,0
strong (60%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.1,100,0,0,0,0
strong (60%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.2,100,0,0,0,0
strong (60%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.3,100,0,0.104166666666667,0.0224747474747475,0.0343776681796538
strong (60%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.4,100,0.395833333333333,0.8,0.566699604743083,0.565733096199517
strong (60%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.5,100,0.840909090909091,1,0.936170212765957,0.938797121632408
strong (60%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.6,100,0.977272727272727,1,1,0.997266436224085
strong (60%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.7,100,1,1,1,1
strong (60%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.8,100,1,1,1,1
strong (60%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.9,100,1,1,1,1
strong (60%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",1,100,1,1,1,1
very strong (80%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0,100,0,0,0,0
very strong (80%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.1,100,0,0,0,0
very strong (80%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.2,100,0,0,0,0
very strong (80%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.3,100,0,0.0434782608695652,0,0.00570540745810906
very strong (80%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.4,100,0.148936170212766,0.469387755102041,0.311805555555556,0.319305198631323
very strong (80%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.5,100,0.702127659574468,0.959183673469388,0.854166666666667,0.855561697012222
very strong (80%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.6,100,0.911111111111111,1,0.977260981912145,0.96685081288521
very strong (80%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.7,100,1,1,1,1
very strong (80%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.8,100,1,1,1,1
very strong (80%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",0.9,100,1,1,1,1
very strong (80%),"delayed mitigation:
7 days after threshold reached","High increase in transmission:
Rt approx. 1.25",1,100,1,1,1,1
