sample_num,speciesS,initialAs,N_EMS_11,time_to_infectious,time_to_symptoms,time_to_hospitalization,time_to_critical,time_to_death,time_to_detection,time_to_detection_As,time_to_detection_Sym,time_to_detection_Sys,recovery_time_asymp,recovery_time_mild,recovery_time_hosp,recovery_time_crit,fraction_symptomatic,fraction_severe,fraction_critical,cfr,reduced_inf_of_det_cases,d_Sys,d_As,d_P,d_Sys_incr1,d_Sys_incr2,d_Sys_incr3,d_Sys_incr4,d_Sys_incr5,d_Sys_incr6,d_Sys_incr7,fraction_critical_incr1,fraction_critical_incr2,fraction_critical_incr3,ki_multiplier_3a_EMS_11,ki_multiplier_3b_EMS_11,ki_multiplier_3c_EMS_11,ki_multiplier_4_EMS_11,ki_multiplier_5_EMS_11,ki_multiplier_time_4_EMS_11,ki_multiplier_time_5_EMS_11,ki_multiplier_6_EMS_11,ki_multiplier_7_EMS_11,ki_multiplier_time_6_EMS_11,ki_multiplier_time_7_EMS_11,ki_multiplier_8_EMS_11,ki_multiplier_time_8_EMS_11,d_Sym_EMS_11,d_Sym_change1_EMS_11,d_Sym_change2_EMS_11,d_Sym_change3_EMS_11,d_Sym_change4_EMS_11,d_Sym_change5_EMS_11,reopening_multiplier_4_EMS_11,d_Sym_ct1_EMS_11,Ki_EMS_11,time_infection_import_EMS_11,trigger_EMS_11,d_Sym_ct1,change_testDelay_As_1,change_testDelay_Sym_1,reduced_inf_of_det_cases_ct1,trigger_delay_days,initialAs_EMS_11,speciesS_EMS_11,Ki,startdate,ki_multiplier_time_3a,ki_multiplier_time_3b,ki_multiplier_time_3c,socialDistance_rollback_time,gradual_reopening_time1,gradual_reopening_time2,gradual_reopening_time3,gradual_reopening_time4,today,detection_time_1,detection_time_2,detection_time_3,detection_time_4,detection_time_5,detection_time_6,detection_time_7,crit_time_1,crit_time_2,crit_time_3,d_Sym_change_time_1,d_Sym_change_time_2,d_Sym_change_time_3,d_Sym_change_time_4,d_Sym_change_time_5,contact_tracing_start_1,contact_tracing_stop1,change_testDelay_time1,cfr_time_1,cfr_time_2,fraction_dead,fraction_hospitalized,scen_num,capacity_multiplier
10,12830632,10,2716921,4.376402065,2.690804401,3.054952801,4.8175922,5.279976039,2,3.557502739,7,2,8.088025667,9,5.129610872,8.73552939,0.571701174,0.07069978,0.299282583,0.024688987,0.071036608,0.012762472,0,0,0.038579536,0.180119975,0.289288746,0.375985512,0.521952683,0.756651424,0.879049738,0.211161892,0.085461583,0.072952778,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,4.5e-07,0.04371098,0.069447824,0.159094978,0.106130644,0.227702539,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.349208818,0.351508599,11,0
11,12830632,10,2716921,4.289452721,2.45041045,3.798740097,5.461547785,5.814564008,2,3.751882812,7,2,7.751771013,9,4.261908363,8.61169049,0.637384839,0.083472079,0.236317715,0.01960927,0.113234008,0.00854958,0,0,0.047453084,0.158270802,0.244097836,0.406847544,0.486801071,0.678478687,0.943647219,0.154458865,0.079266839,0.082172139,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.006221523,0.035410073,0.051544747,0.1390858,0.159038431,0.320612031,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.234920113,0.528762172,12,0
12,12830632,10,2716921,4.436471201,3.465857465,4.31230818,5.507486498,5.073470492,2,5.160073867,7,2,8.985391724,9,5.857899507,8.628797469,0.583649694,0.074000101,0.331023978,0.010315369,0.079811324,0.013552843,0,0,0.043693454,0.142011117,0.207925415,0.333798547,0.522178404,0.69689246,0.826027284,0.145191649,0.085584449,0.080806927,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.004142517,0.043486608,0.061031651,0.147399706,0.211696688,0.215264969,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.139396686,0.529579336,13,0
13,12830632,10,2716921,4.056708485,2.419070244,5.984922793,5.730245362,5.242761966,2,5.21064869,7,2,8.447022719,9,4.483483953,9.629187786,0.568861622,0.093757342,0.296036273,0.029427796,0.058459222,0.002525482,0,0,0.085341212,0.101387694,0.263965323,0.333168259,0.599076834,0.653485511,0.822678313,0.219807175,0.078510138,0.056299601,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.000714561,0.052598582,0.091154089,0.122108729,0.275045756,0.13844752,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.313871914,0.390091813,14,0
14,12830632,10,2716921,4.333414154,2.525799518,3.127477956,5.563596601,4.595930933,2,5.42805657,7,2,9.439778951,9,4.025351683,9.977837041,0.689946676,0.085492183,0.2092476,0.021979585,0.012208024,0.00043619,0,0,0.058078364,0.126725107,0.310109185,0.368986561,0.529238514,0.761019138,0.881051697,0.201873484,0.111201148,0.089556199,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.008300232,0.031419676,0.064462561,0.165225293,0.212447147,0.341818158,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.257094672,0.533657728,15,0
15,12830632,10,2716921,4.39590129,3.465800578,5.89537432,4.958849896,4.945295684,2,1.770072327,7,2,9.522585084,9,5.82620143,9.473754435,0.668976029,0.081645247,0.25178108,0.010776079,0.063109629,0.017917867,0,0,0.030333385,0.104891003,0.259838803,0.332516118,0.567592184,0.64174187,0.812288723,0.226984714,0.102426508,0.084291305,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.001437792,0.074992869,0.065752854,0.171553677,0.231024392,0.195175244,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.131986607,0.616232313,16,0
16,12830632,10,2716921,3.771981617,3.014967839,3.660970978,4.291486568,5.943259278,2,1.293963218,7,2,9.102383429,9,5.876182209,8.446720534,0.530845259,0.069400921,0.342468114,0.024182952,0.129666578,0.002238434,0,0,0.082168962,0.167051307,0.212742999,0.394815116,0.55693065,0.700376365,0.93360393,0.141755625,0.07863651,0.068140268,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.003157998,0.079554808,0.074206187,0.110301604,0.191014533,0.363243324,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.348452891,0.309078994,17,0
17,12830632,10,2716921,3.69118356,3.035871395,3.598644267,4.969724031,5.425515881,2,3.915825901,7,2,9.52378726,9,5.040497515,8.576320387,0.54317398,0.062764353,0.253657079,0.016952848,0.140864215,0.008662427,0,0,0.032055987,0.15963071,0.299699647,0.443037281,0.502289784,0.793062194,0.944560619,0.141507923,0.090298685,0.079163919,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.00018275,0.05050197,0.059330375,0.116762439,0.184059284,0.134226746,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.270103127,0.476239794,18,0
18,12830632,10,2716921,3.783696078,2.683982352,5.714478789,4.840609727,4.102467139,2,4.850167882,7,2,7.543088322,9,4.674575941,8.155527197,0.639625668,0.06041939,0.266911613,0.02093037,0.278518002,0.017749452,0,0,0.079894526,0.133291526,0.200749643,0.340146564,0.451270773,0.631671145,0.902065521,0.156357175,0.102366443,0.066942339,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.003875912,0.015675953,0.080893913,0.14289313,0.232010228,0.337187154,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.346418092,0.386670295,19,0
19,12830632,10,2716921,4.209626068,2.99191821,5.344257948,4.538806105,5.4173794,2,1.423410435,7,2,7.717752382,9,5.913951973,9.889419689,0.54992254,0.085471008,0.262625053,0.015062339,0.226356273,0.016270098,0,0,0.061402366,0.119195511,0.235966053,0.339605969,0.472268307,0.745686008,0.815185381,0.202828356,0.094557131,0.071698629,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.008234873,0.050949854,0.091278817,0.154143682,0.193254249,0.255058307,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.176227461,0.561147486,20,0
20,12830632,10,2716921,3.888077682,3.218788669,5.264671369,4.12058116,5.880338428,2,4.727012512,7,2,7.111375343,9,4.890583083,8.804459875,0.510411257,0.063318397,0.206899877,0.016565375,0.024728042,0.015816643,0,0,0.072520344,0.121187884,0.321725814,0.440914303,0.548120662,0.637450276,0.821026911,0.211636454,0.073044516,0.050708799,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.001185975,0.064734387,0.054840788,0.135955357,0.209720348,0.329931387,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.261620249,0.531479874,21,0
21,12830632,10,2716921,4.326062021,3.456570259,4.596335737,5.161917987,5.662422911,2,2.337626469,7,2,9.687030517,9,5.157900982,9.274557644,0.570109209,0.08680408,0.230923831,0.012510957,0.262355359,0.017523106,0,0,0.040125801,0.141801087,0.259520645,0.374030637,0.556370114,0.6405976,0.927964179,0.139075194,0.103663524,0.068189307,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.001415651,0.063520634,0.070188631,0.158666482,0.179911094,0.342406457,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.144128677,0.624947492,22,0
22,12830632,10,2716921,4.460733995,3.299333021,3.669537044,5.957543153,5.938759579,2,1.193577947,7,2,8.585298053,9,4.513423484,9.236588428,0.632452571,0.065777572,0.330750911,0.019723852,0.228063914,0.017822967,0,0,0.080757935,0.158786484,0.212112816,0.380137207,0.594298713,0.791004367,0.826252328,0.208700172,0.07370513,0.080530798,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.004392143,0.075847414,0.074629153,0.134569163,0.269631246,0.13483181,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.299856793,0.369392296,23,0
23,12830632,10,2716921,3.59687982,3.366056713,5.254209419,4.701936148,5.772152182,2,1.031804917,7,2,8.913237184,9,4.560254548,8.11684878,0.591038128,0.085998258,0.33393071,0.029137761,0.128313193,0.009467443,0,0,0.081788982,0.121030065,0.328923661,0.417300338,0.511688228,0.69942146,0.985727865,0.197635251,0.103973786,0.084276885,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.006827948,0.063977416,0.089343427,0.192680901,0.258126768,0.197519285,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.33881804,0.32725125,24,0
24,12830632,10,2716921,3.825557061,2.959722666,4.712029736,4.206489797,5.707229779,2,2.189791953,7,2,7.973294605,9,4.706214826,9.994979479,0.521441918,0.084754586,0.342372588,0.019792414,0.028819018,0.012820158,0,0,0.065955855,0.130427659,0.295934731,0.426067281,0.541313189,0.608895125,0.964244593,0.210162439,0.113935333,0.057255104,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.005663639,0.073001471,0.055027764,0.198612404,0.138716601,0.146751071,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.233526175,0.424101237,25,0
25,12830632,10,2716921,4.103007878,3.245542225,3.724416231,4.951315189,5.762996479,2,5.36528758,7,2,9.909916463,9,5.649986,9.560681864,0.643848503,0.090275984,0.32181652,0.011492642,0.013547794,0.007716936,0,0,0.055162456,0.113389975,0.321625017,0.441245759,0.512954429,0.773949524,0.97967906,0.178829986,0.079585419,0.060468435,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,4.38e-05,0.034734385,0.076226191,0.15404415,0.230502667,0.209756789,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.127305641,0.550877839,26,0
26,12830632,10,2716921,3.555040062,3.452659716,3.529879492,5.814130658,4.163604427,2,2.768773325,7,2,7.285754755,9,5.693915595,9.461039678,0.629308731,0.097376018,0.219362275,0.016788112,0.273357691,0.004876349,0,0,0.050528909,0.14688182,0.197548789,0.397182878,0.573027419,0.668702588,0.82994923,0.192423966,0.077595117,0.089982638,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,6.4e-05,0.038496153,0.087176255,0.17482202,0.204320939,0.113272382,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.172404999,0.608232726,27,0
27,12830632,10,2716921,3.672045641,3.139484358,3.59640199,5.984198892,4.22735626,2,2.068036897,7,2,8.39662931,9,4.699655059,9.30768611,0.552625239,0.077243942,0.27437601,0.013369052,0.199659614,0.00281221,0,0,0.089651473,0.113312261,0.25844272,0.348160276,0.578273,0.676769525,0.810148578,0.218496966,0.085347833,0.077162301,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.008873744,0.059810479,0.081386593,0.178604527,0.107819351,0.348206636,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.173075729,0.552548261,28,0
28,12830632,10,2716921,3.497580394,3.311851367,3.371102596,5.199146877,4.238814099,2,4.074713812,7,2,9.497274664,9,4.132575163,9.469229942,0.548972492,0.077894874,0.204373221,0.026997241,0.229485212,0.011356707,0,0,0.069901709,0.11587599,0.314261168,0.423052786,0.480365193,0.782329069,0.991133478,0.178284331,0.115663082,0.081085958,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.0049652,0.072933213,0.056646903,0.148300639,0.106147108,0.324270384,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.346585593,0.449041185,29,0
29,12830632,10,2716921,3.973747628,2.577994701,3.601672836,5.881927162,5.240189483,2,3.617802532,7,2,7.878560087,9,4.424405848,9.411796245,0.612177569,0.099257315,0.254812396,0.022072957,0.295630695,0.002519409,0,0,0.078639098,0.107618777,0.247359499,0.399084741,0.497892312,0.786035801,0.946969407,0.135529645,0.108817405,0.066472051,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.002088154,0.07550936,0.069047547,0.143399023,0.151251063,0.273603514,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.222381161,0.522806443,30,0
30,12830632,10,2716921,3.970383987,2.761775522,4.856840719,4.432123468,4.581000292,2,5.881963917,7,2,8.526167863,9,5.977791157,8.115945012,0.521911386,0.064942129,0.308882548,0.010075773,0.263804244,0.010607651,0,0,0.073086085,0.168808585,0.251241776,0.44787271,0.527305455,0.631301256,0.82478838,0.158738543,0.099656501,0.061362553,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.005761613,0.045116567,0.099004879,0.166246721,0.174566852,0.206662499,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.15515002,0.535967432,31,0
